Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Gilbert Perreault		C	1970-1971	1986-1987	"1,191"	512	814	"1,326"	42	500	134	8	81		"3,079"
Jea Beliveau		C	1950-1951	1970-1971	"1,125"	507	712	"1,219"	67	"1,029"	26	0	13		
Peter Bodra		R	1990-1991	2006-2007	"1,081"	503	389	892	74	761	149	32	78	10	"3,531"
Joe Mulle		R	1979-1980	1996-1997	"1,062"	502	561	"1,063"	163	241	150	11	73	3	"2,787"
Lay McDoald		R	1973-1974	1988-1989	"1,111"	500	506	"1,006"	41	899	139	11	53	0	"3,444"
Gle Aderso		R	1980-1981	1995-1996	"1,129"	498	601	"1,099"	201	"1,120"	151	13	85	2	"3,108"
Jea Ratelle		C	1960-1961	1980-1981	"1,281"	491	776	"1,267"	299	276	128	4	60		
Norm Ullma		C	1955-1956	1974-1975	"1,410"	490	739	"1,229"	40	712	53	2	14		
Bria Bellows		L	1982-1983	1998-1999	"1,188"	485	537	"1,022"	-125	718	198	13	58	2	"3,588"
Darryl Sittler		C	1970-1971	1984-1985	"1,096"	484	637	"1,121"	53	948	150	10	57		"3,812"
Sergei Fedorov		C	1990-1991	2008-2009	"1,248"	483	696	"1,179"	261	839	144	36	93	4	"3,985"
Berie Nicholls		C	1981-1982	1998-1999	"1,127"	475	734	"1,209"	-38	"1,292"	152	28	35	5	"3,231"
Deis Savard		C	1980-1981	1996-1997	"1,196"	473	865	"1,338"	97	"1,336"	127	20	56	4	"3,143"
Alexader Mogily		R	1989-1990	2005-2006	990	473	559	"1,032"	81	432	141	20	66	11	"2,966"
Maria Hossa	CHI	R	1997-1998	2014-2015	"1,122"	470	546	"1,016"	215	576	131	30	75	5	"3,721"
Pat LaFotaie		C	1983-1984	1997-1998	865	468	545	"1,013"	-4	552	156	11	59	11	"2,665"
Alex Delvecchio		C	1950-1951	1973-1974	"1,549"	456	825	"1,281"	33	383	38	0	17		
Theo Fleury		R	1988-1989	2002-2003	"1,084"	455	633	"1,088"	145	"1,840"	125	35	67	10	"3,611"
Rod Brid'Amour		C	1988-1989	2009-2010	"1,484"	452	732	"1,184"	-39	"1,100"	149	28	67	11	"3,290"
Doug Gilmour		C	1983-1984	2002-2003	"1,474"	450	964	"1,414"	132	"1,301"	153	18	56	15	"2,833"
Peter Stasty		C	1980-1981	1994-1995	977	450	789	"1,239"	-12	824	145	7	54	2	"2,374"
Rick Middleto		R	1974-1975	1987-1988	"1,005"	448	540	988	180	157	115	25	59	0	"2,275"
Daiel Alfredsso		R	1995-1996	2013-2014	"1,246"	444	713	"1,157"	155	510	135	25	73	7	"3,471"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Patrick Marleau	SJS	L	1997-1998	2014-2015	"1,279"	444	514	958	25	413	138	16	85	2	"3,259"
Steve Larmer		R	1980-1981	1994-1995	"1,006"	441	571	"1,012"	204	532	162	24	60	1	"2,803"
Richard Vaive		R	1979-1980	1991-1992	876	441	347	788	-78	"1,445"	143	11	52	1	"2,602"
Rick Tocchet		R	1984-1985	2001-2002	"1,144"	440	512	952	82	"2,972"	130	13	50	9	"2,804"
Gary Roberts		L	1986-1987	2008-2009	"1,224"	438	472	910	229	"2,560"	109	13	52	11	"2,374"
Pavel Bure		R	1991-1992	2002-2003	702	437	342	779	42	484	121	34	59	7	"3,130"
Alex Ovechki	WSH	R	2005-2006	2014-2015	709	436	404	840	49	476	157	4	73	0	"3,576"
Vicet Damphousse		C	1986-1987	2003-2004	"1,378"	432	773	"1,205"	9	"1,190"	130	17	78	8	"3,511"
Dave Taylor		R	1977-1978	1993-1994	"1,111"	431	638	"1,069"	181	"1,589"	123	4	47	2	"2,413"
Alex Kovalev		R	1992-1993	2012-2013	"1,316"	430	599	"1,029"	-31	"1,304"	133	9	70	8	"3,585"
Bill Gueri		R	1991-1992	2009-2010	"1,263"	429	427	856	51	"1,660"	130	2	77	4	"3,693"
Yva Couroyer		R	1963-1964	1978-1979	968	428	435	863	272	255	112	1	61		
Bria Propp		L	1979-1980	1993-1994	"1,016"	425	579	"1,004"	310	830	120	22	59	1	"3,111"
Stephe Shutt		L	1972-1973	1984-1985	930	424	393	817	393	410	95	0	50		"2,405"
Owe Nola		R	1990-1991	2009-2010	"1,200"	422	463	885	-40	"1,793"	155	23	53	10	"3,128"
Steve Thomas		R	1984-1985	2003-2004	"1,235"	421	512	933	30	"1,306"	106	0	78	7	"3,170"
Stephae Richer		R	1984-1985	2001-2002	"1,054"	421	398	819	77	614	93	13	72	10	"2,849"
Bill Barber		L	1972-1973	1983-1984	903	420	463	883	316	623	104	31	54		"3,250"
Jaso Arott		C	1993-1994	2011-2012	"1,244"	417	521	938	81	"1,242"	145	2	64	7	"3,460"
Ilya Kovalchuk		R	2001-2002	2012-2013	816	417	399	816	-116	516	138	10	60	1	"2,967"
Toy Amote		R	1990-1991	2006-2007	"1,174"	416	484	900	96	752	108	23	58	7	"3,260"
Joh MacLea		R	1983-1984	2001-2002	"1,194"	413	429	842	42	"1,328"	115	13	63	6	"3,324"
Garry Uger		C	1967-1968	1982-1983	"1,105"	413	391	804	-131	"1,075"	105	4	54		"3,433"
Ray Bourque		D	1979-1980	2000-2001	"1,612"	410	"1,169"	"1,579"	528	"1,141"	173	16	60	14	"6,206"
Ray Ferraro		C	1984-1985	2001-2002	"1,258"	408	490	898	-104	"1,288"	130	0	45	11	"2,164"
Rod Gilbert		R	1960-1961	1977-1978	"1,065"	406	615	"1,021"	89	508	83	0	40		
Joh LeClair		L	1990-1991	2006-2007	967	406	413	819	204	501	118	1	65	12	"2,611"
Vicet Lecavalier	PHI	C	1998-1999	2014-2015	"1,122"	405	512	917	-137	794	120	13	63	4	"3,326"
Paul Kariya		L	1994-1995	2009-2010	989	402	587	989	31	399	139	17	53	4	"3,509"
Joh Ogrodick		L	1979-1980	1992-1993	928	402	425	827	-51	260	121	10	45	1	"2,813"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Paul Coffey		D	1980-1981	2000-2001	"1,409"	396	"1,135"	"1,531"	294	"1,802"	135	20	43	4	"4,385"
Patrik Elias	NJD	C	1995-1996	2014-2015	"1,181"	396	599	995	175	529	109	16	79	4	"3,184"
David Keo		C	1960-1961	1981-1982	"1,296"	396	590	986	-12	117	32	24	40		
Markus Naslud		L	1993-1994	2008-2009	"1,117"	395	474	869	6	736	126	6	53	4	"3,046"
Pierre Larouche		C	1974-1975	1987-1988	812	395	427	822	-25	237	114	1	36	0	"2,288"
Cam Neely		R	1983-1984	1995-1996	726	395	299	694	82	"1,241"	142	1	61	3	"2,148"
Tomas Sadstrom		R	1984-1985	1998-1999	983	394	462	856	6	"1,193"	119	10	44	7	"2,741"
Berie Geoffrio		R	1950-1951	1967-1968	883	393	429	822	1	689	4	0	0		
Dea Pretice		L	1952-1953	1973-1974	"1,378"	391	469	860	-33	484	37	2	13		
Joseph Proovost		R	1968-1969	1981-1982	998	391	383	774	49	413	85	17	57		"2,783"
Rya Smyth		L	1994-1995	2013-2014	"1,270"	386	456	842	-54	976	159	8	56	8	"3,433"
Ray Whitey		L	1991-1992	2013-2014	"1,330"	385	679	"1,064"	-79	465	112	5	45	5	"3,040"
Richard Marti		L	1971-1972	1981-1982	685	384	317	701	15	477	115	0	47		"2,530"
Regiald Leach		R	1970-1971	1982-1983	934	381	285	666	123	387	88	5	58		"2,866"
Marti St. Louis	NYR	R	1998-1999	2014-2015	"1,089"	380	624	"1,004"	23	298	99	29	65	5	"2,798"
Ted Lidsay		L	1944-1945	1964-1965	"1,068"	379	472	851		"1,808"					
Claude Lemieux		R	1983-1984	2008-2009	"1,215"	379	407	786	13	"1,777"	114	6	58	9	"3,650"
Robert Gorig		C	1969-1970	1984-1985	"1,107"	375	513	888	-20	102	71	40	39		"2,279"
Trevor Lide		C	1988-1989	2007-2008	"1,382"	375	492	867	-64	895	119	18	41	6	"2,704"
Mila Hejduk		R	1998-1999	2012-2013	"1,020"	375	430	805	101	316	140	6	59	4	"2,667"
Eric Lidros		C	1992-1993	2006-2007	760	372	493	865	215	"1,398"	111	7	46	9	"2,312"
Day Heatley	ANA	L	2001-2002	2014-2015	867	372	419	791	39	620	143	8	64	0	"2,563"
Rick Kehoe		R	1971-1972	1984-1985	906	371	396	767	-79	120	102	1	34		"2,636"
Tim Kerr		R	1980-1981	1992-1993	655	370	304	674	74	596	150	0	48	3	"1,971"
Berard Federko		C	1976-1977	1989-1990	"1,000"	369	761	"1,130"	-132	487	119	2	40	3	"2,076"
Geoff Courtall		L	1983-1984	1999-2000	"1,048"	367	432	799	121	"1,463"	107	2	55	3	"3,090"
Jacques Lemaire		C	1967-1968	1978-1979	853	366	469	835	349	217	89	4	58		"3,051"
Scott Mellaby		R	1985-1986	2006-2007	"1,431"	364	476	840	-36	"2,479"	140	1	56	10	"2,960"
Bret Sutter		C	1980-1981	1997-1998	"1,111"	363	466	829	167	"1,054"	110	18	47	2	"2,393"
Peter Mcab		C	1973-1974	1986-1987	954	363	450	813	130	179	82	1	47		"1,956"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Miroslav Sata		R	1995-1996	2009-2010	"1,050"	363	372	735	20	464	120	16	50	4	"2,582"
Shae Doa	ARI	R	1995-1996	2014-2015	"1,346"	361	517	878	-36	"1,161"	109	6	65	4	"3,518"
Iva Boldirev		C	1970-1971	1984-1985	"1,052"	361	505	866	-190	507	102	3	42		"2,518"
Bobby Clarke		C	1969-1970	1983-1984	"1,144"	358	852	"1,210"	506	"1,453"	99	32	38		"2,587"
Heri Richard		C	1955-1956	1974-1975	"1,256"	358	688	"1,046"	126	928	8	0	14		
Bobby Smith		C	1978-1979	1992-1993	"1,077"	357	679	"1,036"	-10	917	125	1	51	2	"2,703"
Kirk Muller		L	1984-1985	2002-2003	"1,349"	357	602	959	-146	"1,223"	134	11	47	6	"2,792"
Ray Sheppard		R	1987-1988	1999-2000	817	357	300	657	10	212	125	1	52	6	"2,114"
Deis Maruk		C	1975-1976	1988-1989	888	356	522	878	-75	761	89	14	26	1	"2,229"
Vyacheslav Kozlov		L	1991-1992	2009-2010	"1,182"	356	497	853	96	704	99	4	56	4	"2,843"
Wilf Paiemet		R	1974-1975	1987-1988	946	356	458	814	-140	"1,757"	83	19	29	1	"2,720"
Rick Nash	NYR	L	2002-2003	2014-2015	812	356	305	661	-32	640	92	20	58	2	"2,813"
Kevi Diee		R	1984-1985	2002-2003	"1,188"	355	405	760	-23	"2,229"	91	14	56	8	"2,769"
Greg Adams		L	1984-1985	2000-2001	"1,056"	355	388	743	-48	326	122	7	31	4	"2,328"
Michael Foligo		R	1979-1980	1993-1994	"1,018"	355	372	727	101	"2,049"	85	2	51	6	"2,123"
Geoff Saderso		L	1990-1991	2007-2008	"1,104"	355	345	700	-100	511	116	7	48	5	"3,072"
Maria Gaborik	LAK	R	2000-2001	2014-2015	830	354	361	715	98	420	94	7	64	1	"2,734"
Daiel Gare		R	1974-1975	1986-1987	827	354	331	685	161	"1,285"	79	2	43		"2,552"
Joe Thorto	SJS	C	1997-1998	2014-2015	"1,239"	350	872	"1,222"	181	"1,025"	117	6	55	2	"2,487"
Ady Bathgate		R	1952-1953	1970-1971	"1,069"	349	624	973	-22	624	9	0	7		
Richard Macleish		C	1970-1971	1983-1984	846	349	410	759	152	434	104	23	52		"2,608"
Eddie Olczyk		R	1984-1985	1999-2000	"1,031"	342	452	794	-67	874	100	12	37	6	"2,578"
Bria Rolsto		R	1994-1995	2011-2012	"1,256"	342	419	761	65	472	98	33	72	4	"3,836"
Scott Youg		R	1987-1988	2005-2006	"1,181"	342	415	757	-40	448	108	21	50	3	"3,501"
Charles Simmer		L	1974-1975	1987-1988	712	342	369	711	113	544	125	2	41	0	"1,531"
Adam Oates		C	1985-1986	2003-2004	"1,337"	341	"1,079"	"1,420"	35	415	103	12	56	6	"2,392"
Al MacIis		D	1981-1982	2003-2004	"1,416"	340	934	"1,274"	373	"1,511"	166	10	44	6	"5,157"
Dave Christia		R	1979-1980	1993-1994	"1,009"	340	433	773	-65	284	102	8	35	2	"2,167"
Phil Housley		D	1982-1983	2002-2003	"1,495"	338	894	"1,232"	-53	822	129	7	49	8	"3,808"
Alexei Yashi		C	1993-1994	2006-2007	850	337	444	781	-83	401	124	4	49	4	"2,828"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Gle Murray		R	1991-1992	2007-2008	"1,009"	337	314	651	14	679	86	9	55	5	"2,576"
Roald Ellis		R	1963-1964	1980-1981	"1,034"	332	308	640	67	207	42	4	40		
Wedel Clark		L	1985-1986	1999-2000	793	330	234	564	-129	"1,690"	101	0	43	6	"2,340"
Kevi Steves		L	1987-1988	2001-2002	874	329	397	726	-103	"1,470"	134	0	35	5	"2,331"
Ziggy Palffy		R	1993-1994	2005-2006	684	329	384	713	83	322	92	19	45	4	"2,136"
Michael Bullard		C	1980-1981	1991-1992	727	329	345	674	-102	703	112	2	28	3	"1,849"
Adam Graves		L	1987-1988	2002-2003	"1,152"	329	287	616	-25	"1,224"	105	19	40	8	"2,855"
Ke Hodge		R	1964-1965	1977-1978	881	328	472	800	241	779	86	2	53		
Bobby Holik		C	1990-1991	2008-2009	"1,314"	326	421	747	115	"1,423"	74	1	58	6	"3,345"
Joh Toelli		L	1978-1979	1991-1992	"1,028"	325	511	836	222	911	72	4	47	0	"1,846"
Pit Marti		C	1961-1962	1978-1979	"1,101"	324	485	809	127	609	56	7	35		
Paul MacLea		R	1980-1981	1990-1991	719	324	349	673	-35	968	115	0	37	3	"1,513"
Nels Stewart		C	1925-1926	1939-1940	650	324	191	515		953					
Dale Huter		C	1980-1981	1998-1999	"1,407"	323	697	"1,020"	98	"3,565"	92	10	41	5	"2,045"
Petr Sykora		R	1995-1996	2011-2012	"1,017"	323	398	721	58	455	111	5	58	1	"2,747"
Vic Hadfield		L	1961-1962	1976-1977	"1,002"	323	389	712	98	"1,154"	82	4	37		
Bobby Carpeter		C	1981-1982	1998-1999	"1,178"	320	408	728	-81	919	82	7	40	5	"2,646"
Toy McKegey		L	1978-1979	1990-1991	912	320	319	639	3	517	77	9	28	1	"2,092"
Olli Jokie	NSH	C	1997-1998	2014-2015	"1,199"	319	423	742	-138	"1,051"	97	13	53	2	"3,287"
Clark Gillies		L	1974-1975	1987-1988	958	319	378	697	241	"1,023"	93	0	44	0	"2,251"
Dave Gager		C	1984-1985	1998-1999	946	318	401	719	-65	"1,018"	115	7	36	9	"2,358"
Daiel Sedi	VAN	L	2000-2001	2014-2015	"1,009"	314	517	831	175	424	114	0	70	0	"2,660"
Todd Bertuzzi		R	1995-1996	2013-2014	"1,159"	314	456	770	-44	"1,478"	110	1	41	1	"2,411"
Doald Lever		C	1972-1973	1986-1987	"1,020"	313	367	680	-240	593	77	10	22		"2,161"
Petr Klima		R	1985-1986	1998-1999	786	313	260	573	-125	671	77	6	36	2	"1,847"
Deis Potvi		D	1973-1974	1987-1988	"1,060"	310	742	"1,052"	460	"1,356"	127	10	44	0	"3,053"
Petr Nedved		C	1990-1991	2006-2007	982	310	407	717	-21	708	80	13	39	5	"2,207"
Marti Gelias		L	1988-1989	2007-2008	"1,273"	309	351	660	52	820	60	9	41	11	"2,382"
Bob Nevi		R	1957-1958	1975-1976	"1,128"	307	419	726	85	211	36	4	29		
Cliff Roig		C	1985-1986	2003-2004	"1,137"	306	563	869	45	453	109	0	34	6	"2,806"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Daiel Briere	COL	C	1997-1998	2014-2015	939	305	386	691	-21	738	106	0	43	3	"2,142"
Pavol Demitra		R	1993-1994	2009-2010	847	304	464	768	124	284	90	10	59	4	"2,160"
Deis Hull		L	1964-1965	1977-1978	959	303	351	654	13	261	49	6	37		
Bria Sutter		L	1976-1977	1987-1988	779	303	333	636	-63	"1,786"	107	3	29	0	"1,686"
Ulf Dahle		R	1987-1988	2002-2003	966	301	354	655	-20	230	120	2	49	6	"2,014"
Russ Courtall		R	1983-1984	1998-1999	"1,029"	297	447	744	-1	557	58	29	40	9	"2,800"
George Armstrog		R	1949-1950	1970-1971	"1,187"	296	417	713	15	721	5	1	7		
Eric Staal	CAR	C	2003-2004	2014-2015	794	296	408	704	-52	611	100	16	44	0	"2,706"
Thomas Lysiak		C	1973-1974	1985-1986	919	292	551	843	-14	567	75	8	43		"2,210"
Mike Ridley		C	1985-1986	1996-1997	866	292	466	758	37	424	87	19	46	4	"1,513"
Simo Gage	BOS	L	1999-2000	2014-2015	822	291	310	601	129	328	81	12	53	4	"2,312"
Steve Sulliva		L	1995-1996	2012-2013	"1,011"	290	457	747	93	587	75	20	52	4	"2,129"
Neal Brote		C	1980-1981	1996-1997	"1,099"	289	634	923	18	569	67	25	34	3	"2,316"
Peter Mahovlich		C	1965-1966	1980-1981	884	288	485	773	234	916	70	19	38		
Larry Murphy		D	1980-1981	2000-2001	"1,615"	287	929	"1,216"	179	"1,084"	114	9	36	12	"3,606"
Toy Tati		R	1981-1982	1991-1992	697	287	273	560	-67	661	118	2	29	3	"1,831"
Pavel Datsyuk	DET	C	2001-2002	2014-2015	845	284	543	827	235	210	85	6	47	1	"1,951"
Herik Zetterberg	DET	L	2002-2003	2014-2015	791	284	462	746	163	323	91	9	57	1	"2,741"
Ree Robert		R	1970-1971	1981-1982	744	284	418	702	0	597	73	0	36		"2,310"
Bret Ashto		L	1979-1980	1992-1993	998	284	345	629	-59	635	57	12	29	1	"1,929"
Sidey Crosby	PIT	C	2005-2006	2014-2015	577	283	521	804	133	489	85	3	35	0	"1,934"
Dick Duff		L	1954-1955	1971-1972	"1,030"	283	289	572	-47	743	11	0	11		
Bill Goldsworthy		R	1964-1965	1977-1978	771	283	258	541	-99	793	66	3	36		
Brad Richards	CHI	C	2000-2001	2014-2015	"1,014"	282	603	885	-63	235	90	8	38	1	"3,168"
Joh Aderso		R	1977-1978	1988-1989	814	282	349	631	5	263	75	4	41	0	"2,006"
Red Kelly		D	1947-1948	1966-1967	"1,316"	281	542	823		327					
Bob Pulford		L	1956-1957	1971-1972	"1,079"	281	362	643	-80	792	18	6	7		
Thomas Vaek	MIN	L	2005-2006	2014-2015	692	281	293	574	39	410	114	3	45	0	"1,933"
Camille Hery		C	1953-1954	1969-1970	727	279	249	528	20	88	9	0	1		
Doug Weight		C	1990-1991	2010-2011	"1,238"	278	755	"1,033"	-58	970	80	2	34	5	"2,655"
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Cory Stillma		L	1994-1995	2010-2011	"1,025"	278	449	727	-20	489	99	9	47	3	"2,097"
Ralph Backstrom		C	1956-1957	1972-1973	"1,032"	278	361	639	-13	386	16	4	21		
Jim Pappi		R	1963-1964	1976-1977	767	278	295	573	74	667	46	6	37		
Mike Kuble		R	1996-1997	2012-2013	"1,068"	278	270	548	76	641	81	5	36	3	"2,004"
Waye Cashma		L	1964-1965	1982-1983	"1,027"	277	516	793	281	"1,041"	56	3	37		
Corey Perry	ANA	R	2005-2006	2014-2015	678	277	292	569	90	834	80	6	51	0	"2,088"
Ro Stewart		R	1952-1953	1972-1973	"1,353"	276	253	529	-32	560	5	9	14		
James Carso		C	1986-1987	1995-1996	626	275	286	561	-20	254	110	1	31	6	"1,567"
Murray Oliver		C	1957-1958	1974-1975	"1,127"	274	454	728	-18	320	28	5	15		
Brya Smoliski		C	1992-1993	2007-2008	"1,056"	274	377	651	46	606	69	14	45	5	"2,466"
Ro Duguay		C	1977-1978	1988-1989	864	274	346	620	-99	582	64	14	19	0	"1,809"
Shaye Corso		L	1985-1986	2003-2004	"1,156"	273	420	693	44	"2,357"	90	6	35	6	"2,253"
Al Secord		L	1978-1979	1989-1990	766	273	222	495	1	"2,095"	66	0	28	0	"1,629"
Robert Schmautz		R	1967-1968	1980-1981	764	271	286	557	41	988	57	7	36		"2,104"
Howie Morez		C	1923-1924	1936-1937	550	271	201	472		546					
Bobby Orr		D	1966-1967	1978-1979	657	270	645	915	597	953	73	15	26		
Daymod Lagkow		C	1995-1996	2011-2012	"1,090"	270	402	672	81	547	72	11	42	4	"2,456"
Aurel Joliat		L	1922-1923	1937-1938	655	270	190	460		771					
Sylvai Turgeo		L	1983-1984	1994-1995	669	269	226	495	-108	691	99	0	29	3	"1,983"
Adrew Bruette		L	1995-1996	2011-2012	"1,110"	268	465	733	-78	314	114	0	32	9	"1,516"
Murray Crave		L	1982-1983	1999-2000	"1,071"	266	493	759	128	524	55	22	42	2	"1,906"
Da Qui		C	1983-1984	1996-1997	805	266	419	685	-125	533	123	7	37	5	"1,775"
Keith Primeau		C	1990-1991	2005-2006	909	266	353	619	124	"1,541"	64	14	40	9	"1,699"
Doie Marshall		L	1951-1952	1971-1972	"1,176"	265	324	589	29	127	23	0	11		
Nicklas Lidstrom		D	1991-1992	2011-2012	"1,564"	264	878	"1,142"	450	514	132	10	35	4	"3,875"
Thomas Stee		C	1981-1982	1994-1995	950	264	553	817	-70	753	74	13	28	3	"2,034"
Ket Nilsso		C	1979-1980	1994-1995	553	264	422	686	-20	116	97	16	28	0	"1,374"
Rya Walter		C	1978-1979	1992-1993	"1,003"	264	382	646	-3	946	96	6	23	0	"1,720"
Brede Morrow	TBL	L	1999-2000	2014-2015	951	264	307	571	111	"1,327"	84	8	47	3	"1,657"
Daiel Grat		L	1965-1966	1978-1979	736	263	273	536	-54	239	81	2	19		
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Alex Taguay	COL	L	1999-2000	2014-2015	966	262	530	792	159	469	59	7	39	3	"1,390"
Staley Smyl		R	1978-1979	1990-1991	896	262	411	673	-77	"1,556"	74	13	20	0	"1,903"
Jeff Carter	LAK	C	2005-2006	2014-2015	668	262	218	480	53	378	77	13	54	0	"2,300"
Robert Lag		C	1992-1993	2009-2010	989	261	442	703	55	422	88	5	34	7	"1,853"
Red Bereso		C	1961-1962	1977-1978	987	261	397	658	-120	305	71	9	35		
Derek Kig		L	1986-1987	1999-2000	830	261	351	612	9	417	95	1	37	4	"1,786"
Dickie Moore		L	1951-1952	1967-1968	719	261	347	608	-8	652	1	0	1		
Stu Bares		C	1991-1992	2007-2008	"1,136"	261	336	597	-24	438	78	11	50	6	"2,143"
Guy Carboeau		C	1980-1981	1999-2000	"1,318"	260	403	663	186	820	12	32	42	5	"1,923"
Bria Mulle		R	1982-1983	1992-1993	832	260	362	622	10	414	74	13	30	2	"1,977"
Doald Audette		R	1989-1990	2003-2004	735	260	249	509	-17	584	97	3	45	6	"1,911"
Dmitri Khristich		R	1990-1991	2001-2002	811	259	337	596	104	422	95	5	32	7	"1,516"
Mario Tremblay		R	1974-1975	1985-1986	852	258	326	584	184	"1,043"	46	2	36		"1,883"
Robert Boure		C	1974-1975	1987-1988	964	258	324	582	116	605	39	19	38	0	"1,740"
